Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Barsha South Fourth,Unit,780000.0,3/3/2022,9332.38,1 B/R,1,PARK VIEW TOWER,Jumeirah Village Circle,Nakheel Metro Station,5.4,27.4
Burj Khalifa,Unit,2500000.0,13-10-2020,17860.97,2 B/R,1,Address Fountain Views Residences - Tower 2,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,8.5,43.8
Burj Khalifa,Unit,2450000.0,5/12/2021,30895.33,1 B/R,1,Address Fountain Views Residences - Tower 2,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,6.1,31.8
Al Barsha South Fourth,Unit,286137.0,17-10-2022,5748.03,Studio,1,ASTORIA RESIDENCE,Jumeirah Village Circle,Dubai Internet City,6.1,30.7
Al Hebiah Fourth,Unit,450000.0,10/2/2021,5080.73,1 B/R,1,GRAND HORIZON 1,Dubai Sports City,Nakheel Metro Station,12.1,60.7
Palm Jumeirah,Unit,2850000.0,28-12-2020,21308.41,2 B/R,1,FIVE AT PALM JUMEIRAH DUBAI,Palm Jumeirah,Palm Jumeirah,6.8,35.5
Palm Jumeirah,Unit,1800000.0,6/7/2022,31551.27,Studio,0,FIVE AT PALM JUMEIRAH DUBAI,Palm Jumeirah,Palm Jumeirah,5.3,27.4
Palm Jumeirah,Unit,1646984.0,24-11-2022,29600.72,Studio,0,FIVE AT PALM JUMEIRAH DUBAI,Palm Jumeirah,Palm Jumeirah,8.9,45.4
Al Hebiah Fourth,Unit,240000.0,3/3/2021,5003.13,1 B/R,1,ZENITH TOWER A2,Dubai Sports City,Nakheel Metro Station,13.1,65.6
Al Hebiah Third,Unit,785000.0,28-11-2022,10735.78,1 B/R,1,Damac Hills - LORETO 1 - B,DAMAC HILLS,,7.8,39.4
Al Goze Fourth,Unit,625000.0,14-11-2021,4981.27,1 B/R,1,AL KHAIL HEIGHTS 7A-7B,,Noor Bank Metro Station,5.8,29.3
Al Goze Fourth,Unit,900000.0,30-08-2022,6629.35,2 B/R,1,AL KHAIL HEIGHTS 7A-7B,,Noor Bank Metro Station,11.5,58.0
Al Goze Fourth,Unit,299473.0,8/3/2020,3813.49,1 B/R,1,AL KHAIL HEIGHTS 1A-1B,,Noor Bank Metro Station,10.6,53.2
Marsa Dubai,Unit,2650000.0,27-04-2022,23686.09,2 B/R,1,THE RESIDENCE AT MARINA GATE 2,,Marina Towers,13.1,66.9
Business Bay,Unit,1460400.0,23-02-2023,12919.32,2 B/R,1,THE PAD,Business Bay,Buj Khalifa Dubai Mall Metro Station,11.2,56.8
Marsa Dubai,Unit,2500000.0,11/11/2021,19387.36,2 B/R,1,THE RESIDENCES AT MARINA GATE 1,,Marina Towers,12.1,61.8
Marsa Dubai,Unit,2905000.0,30-05-2022,16682.94,3 B/R,1,Sparkle Tower 1,Dubai Marina,Jumeirah Beach Residency,11.3,58.0
Burj Khalifa,Unit,966000.0,24-01-2022,11538.46,1 B/R,1,UPPER CREST,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,11.3,57.0
Marsa Dubai,Unit,790000.0,7/10/2020,11199.32,2 B/R,1,MARINA WHARF II,Dubai Marina,Jumeirah Beach Residency,8.1,40.9
Hadaeq Sheikh Mohammed Bin Rashid,Unit,1600000.0,23-05-2022,13271.4,2 B/R,1,ACACIA AT PARK HEIGHTS BUILDING A,DUBAI HILLS - PARK,First Abu Dhabi Bank Metro Station,13.9,70.3
Hadaeq Sheikh Mohammed Bin Rashid,Unit,980000.0,14-06-2021,13205.77,1 B/R,1,ACACIA AT PARK HEIGHTS BUILDING A,DUBAI HILLS - PARK,First Abu Dhabi Bank Metro Station,7.7,39.0
Al Jadaf,Unit,1480200.0,22-12-2021,8611.32,3 B/R,1,RIAH TOWERS,Culture Village,Creek Metro Station,7.2,36.8
Al Barsha South Fourth,Unit,650000.0,8/11/2021,4344.05,2 B/R,1,PULSE SMART RESIDENCE ,Jumeirah Village Circle,Dubai Internet City,9.4,47.3
Al Yelayiss 2,Unit,700000.0,29-06-2022,7969.94,2 B/R,1,Town Square Jenna 1,TOWN SQUARE,,7.3,36.9
Al Barsha South Fourth,Unit,1080000.0,6/7/2021,8763.39,2 B/R,1,Hyati Residences Apartment Building,Jumeirah Village Circle,Nakheel Metro Station,8.5,43.1
Al Barsha South Fourth,Unit,1150828.0,13-09-2022,12457.54,1 B/R,1,Belgravia,Jumeirah Village Circle,Nakheel Metro Station,10.0,50.6
Marsa Dubai,Unit,2125000.0,14-12-2021,20296.08,2 B/R,1,52|42 Tower 2,Dubai Marina,Jumeirah Beach Residency,6.1,31.6
Business Bay,Unit,1300000.0,3/3/2021,10300.29,2 B/R,1,NOURA TOWER,,Business Bay Metro Station,10.1,51.2
Burj Khalifa,Unit,1760976.0,16-03-2022,11302.07,2 B/R,1,BAHWAN TOWER,Business Bay,Business Bay Metro Station,7.8,39.9
Al Hebiah Fourth,Unit,565000.0,3/6/2021,11525.91,Studio,1,STADUIM POINT,Dubai Sports City,Dubai Internet City,8.5,42.8
Al Wasl,Unit,4100000.0,27-12-2022,18904.46,3 B/R,1,Citywalk Residential Building 11B,City Walk,Buj Khalifa Dubai Mall Metro Station,5.3,28.7
Madinat Al Mataar,Unit,1090000.0,22-02-2022,4455.53,3 B/R,1,URBANA STACKED HOUSE BLOCK-28,Dubai World Central,,14.4,72.6
Marsa Dubai,Unit,4500000.0,28-02-2022,32701.11,2 B/R,1,Jumeirah Gate Tower 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,6.4,34.4
Marsa Dubai,Unit,2960000.0,27-01-2023,39346.01,1 B/R,1,Jumeirah Gate Tower 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,12.3,63.1
Marsa Dubai,Unit,6720000.0,6/7/2021,37531.42,3 B/R,1,Jumeirah Gate Tower 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,5.5,31.0
Marsa Dubai,Unit,980000.0,23-08-2022,29553.68,Studio,1,Studio One ,Dubai Marina,Jumeirah Beach Residency,10.9,55.0
Marsa Dubai,Unit,730000.0,25-02-2022,15746.33,Studio,1,Studio One ,Dubai Marina,Jumeirah Beach Residency,12.9,64.9
Hadaeq Sheikh Mohammed Bin Rashid,Unit,1912906.0,28-06-2021,15156.53,3 B/R,1,Park Point Building B,DUBAI HILLS,First Abu Dhabi Bank Metro Station,5.5,28.5
Hadaeq Sheikh Mohammed Bin Rashid,Unit,900000.0,18-11-2021,14047.14,1 B/R,1,Park Point Building C,DUBAI HILLS,First Abu Dhabi Bank Metro Station,13.5,68.0
Al Barsha South Fourth,Unit,862243.0,15-11-2021,9271.43,2 B/R,1,Milano Giovanni Boutique Suites,Jumeirah Village Circle,Dubai Internet City,5.1,26.0
Al Barsha South Fourth,Unit,288993.0,15-12-2022,4385.99,1 B/R,1,Milano Giovanni Boutique Suites,Jumeirah Village Circle,Dubai Internet City,8.8,44.2
Marsa Dubai,Unit,1712448.0,25-08-2021,23292.27,1 B/R,1,Jumeirah Living Marina Gate,,Marina Towers,7.3,37.4
Marsa Dubai,Unit,4200000.0,8/11/2022,40415.7,1 B/R,1,Bluewaters Residences 3,,Jumeirah Beach Residency,9.0,47.2
Business Bay,Unit,605000.0,26-07-2022,13574.15,Studio,1,Elite Business Bay Residence,Business Bay,Business Bay Metro Station,14.1,70.8
Al Yelayiss 2,Unit,700000.0,9/11/2022,8405.38,2 B/R,1,TOWN SQUARE - RAWDA APARTMENTS 1,TOWN SQUARE,,14.5,72.9
Madinat Al Mataar,Unit,335000.0,16-12-2022,7539.95,1 B/R,1,MAG 555,Dubai World Central,,7.7,38.7
Burj Khalifa,Unit,11730000.0,21-07-2022,22458.79,4 B/R,1,DT1,Business Bay,Business Bay Metro Station,9.9,55.7
Al Barsha South Fourth,Unit,425000.0,1/9/2022,11243.39,Studio,1,BLOOM TOWERS B,Jumeirah Village Circle,Dubai Internet City,13.4,67.2
Hadaeq Sheikh Mohammed Bin Rashid,Unit,850000.0,4/11/2021,13680.99,1 B/R,1,PARK RIDGE TOWER C,DUBAI HILLS - PARK,First Abu Dhabi Bank Metro Station,12.0,60.4
Hadaeq Sheikh Mohammed Bin Rashid,Unit,1700000.0,3/10/2022,18396.28,2 B/R,1,PARK RIDGE TOWER C,DUBAI HILLS - PARK,First Abu Dhabi Bank Metro Station,8.6,43.9
Wadi Al Safa 3,Unit,925000.0,11/5/2022,5509.23,3 B/R,1,CLEOPATRA TOWER,Living Legends,,10.8,54.5
Al Barshaa South Third,Unit,900000.0,17-12-2020,8079.72,2 B/R,1,The Wings - B,Arjan,Sharaf Dg Metro Station,9.4,47.5
Al Barshaa South Third,Unit,700000.0,24-09-2020,9734.39,1 B/R,1,The Wings - C,Arjan,Sharaf Dg Metro Station,10.4,52.4
Al Hebiah Fourth,Unit,900000.0,23-05-2021,6709.41,2 B/R,1,Spanish,Dubai Sports City,Nakheel Metro Station,15.0,75.5
