Area,Property Type,Price,Date,Price per sqm,Rooms,Parking,Building,Community,Nearest Metro,Projected Growth,Investment Score
Al Hebiah Fourth,Unit,650000.0,12/9/2022,6679.0,2 B/R,1,OASIS TOWER ONE,Dubai Sports City,Nakheel Metro Station,11.3,56.8
Business Bay,Unit,590000.0,25-11-2020,12938.6,Studio,1,PRIVE BY DAMAC (A),Business Bay,Business Bay Metro Station,10.3,51.8
Business Bay,Unit,555000.0,24-05-2021,14252.7,Studio,1,PRIVE BY DAMAC (B),Business Bay,Business Bay Metro Station,11.4,57.3
Business Bay,Unit,977741.0,9/9/2022,10333.34,Office,1,WESTBURRY TOWER 1,,Business Bay Metro Station,5.2,26.5
Al Jadaf,Unit,810000.0,20-06-2022,9265.61,1 B/R,1,DUBAI WHARF TOWER 3,Culture Village,Al Jadaf Metro Station,9.0,45.4
Al Warsan First,Unit,747390.0,22-08-2022,6414.81,Office,1,INDIGO OPTIMA 1,International City Phase 1,Rashidiya Metro Station,10.9,54.9
Burj Khalifa,Unit,2150137.0,10/5/2022,16183.48,2 B/R,1,THE DISTINCTION,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,8.8,45.1
Al Hebiah Fourth,Unit,380000.0,31-10-2022,12067.32,Studio,1,HERA TOWER,Dubai Sports City,Dubai Internet City,5.4,27.2
Al Goze Fourth,Unit,1650000.0,17-05-2021,4084.16,5 B/R,1,AL KHAIL HEIGHTS 10A-10B,,Noor Bank Metro Station,6.9,35.4
Marsa Dubai,Unit,2650000.0,8/2/2023,23570.22,2 B/R,1,THE RESIDENCE AT MARINA GATE 2,,Marina Towers,13.7,69.9
Burj Khalifa,Unit,860000.0,19-04-2022,17349.2,Studio,1,ELITE DOWNTOWN RESIDENCE,Business Bay,Business Bay Metro Station,9.6,48.5
Al Hebiah Third,Unit,310000.0,2/2/2022,10316.14,Studio,1,DAMAC HILLS - ORCHID B,DAMAC HILLS,,13.0,65.2
Al Thanyah Fifth,Unit,430000.0,12/12/2022,5958.98,,1,Dubai Star,Jumeirah Islands,Jumeirah Lakes Towers,14.8,74.2
Palm Jumeirah,Unit,3200000.0,24-03-2022,14099.4,3 B/R,1,BALQIS RESIDENCE 1,Palm Jumeirah,Mina Seyahi,11.1,57.2
Business Bay,Unit,293272.0,14-02-2022,10043.56,Office,1,Tamani Arts Office,Business Bay,Buj Khalifa Dubai Mall Metro Station,6.2,31.2
Al Thanyah Third,Unit,2495000.0,18-01-2021,15050.97,3 B/R,1,Vida Residences 3 & 4 - The Hills,,Damac Properties,10.3,52.8
Burj Khalifa,Unit,6600000.0,31-03-2022,35173.74,3 B/R,1,Address Residences Sky View,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,6.6,36.5
Burj Khalifa,Unit,4200000.0,24-08-2020,18624.45,3 B/R,1,Address Residences Sky View,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,10.5,54.7
Burj Khalifa,Unit,2500000.0,21-07-2020,15834.81,2 B/R,1,Address Residences Sky View 2,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,13.6,69.3
Al Hebiah Fourth,Unit,456452.0,5/12/2022,5241.15,Office,1,STADUIM POINT,Dubai Sports City,Dubai Internet City,7.2,36.2
Marsa Dubai,Unit,800000.0,8/6/2021,18181.82,Studio,1,Sparkle Tower 2,Dubai Marina,Jumeirah Beach Residency,5.8,29.4
Palm Jumeirah,Unit,36000000.0,6/10/2022,32050.14,5 B/R,1,SERENIA RESIDENCES BUILDING B,Palm Jumeirah,Al Sufouh,14.1,89.4
Palm Jumeirah,Unit,2450000.0,31-05-2021,23246.99,1 B/R,1,SERENIA RESIDENCES BUILDING B,Palm Jumeirah,Al Sufouh,14.1,71.8
Zaabeel Second,Unit,1650000.0,6/9/2022,20509.63,1 B/R,1,DOWNTOWN VIEWS,,Buj Khalifa Dubai Mall Metro Station,13.9,70.4
Al Yelayiss 2,Unit,427000.0,28-10-2020,7377.33,1 B/R,1,TOWN SQUARE SAFI 1B,TOWN SQUARE,,13.2,66.2
Burj Khalifa,Unit,1500780.0,10/5/2022,14423.64,1 B/R,1,RP HEIGHTS,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,9.6,48.8
Marsa Dubai,Unit,1995000.0,27-08-2020,29869.74,1 B/R,1,Al Dar Tower,Dubai Marina,Dubai Marina,11.8,60.0
Al Barsha South Fourth,Unit,450000.0,15-11-2020,5413.86,1 B/R,1,CITY APARTMENTS,Jumeirah Village Circle,Dubai Internet City,9.3,46.7
Al Hebiah Fourth,Unit,841625.0,3/2/2020,9726.4,1 B/R,1,STADUIM POINT,Dubai Sports City,Dubai Internet City,13.8,69.4
Al Barshaa South Third,Unit,400000.0,27-12-2021,9220.84,Studio,1,VINCITORE PALACIO,Arjan,Sharaf Dg Metro Station,8.0,40.2
Al Barshaa South Third,Unit,595000.0,7/9/2021,13693.9,Studio,1,VINCITORE PALACIO,Arjan,Sharaf Dg Metro Station,14.8,74.3
Marsa Dubai,Unit,3200000.0,1/7/2022,30745.58,2 B/R,1,52|42 Tower 1,Dubai Marina,Jumeirah Beach Residency,5.3,28.2
Marsa Dubai,Unit,4000000.0,2/1/2023,24922.12,3 B/R,1,52|42 Tower 2,Dubai Marina,Jumeirah Beach Residency,9.0,47.1
Al Barsha South Fourth,Unit,350000.0,25-10-2022,8988.19,Studio,1,CRYSTAL RESIDENCE,Jumeirah Village Circle,Dubai Internet City,6.3,31.7
Al Wasl,Unit,2480000.0,29-03-2021,15359.84,2 B/R,1,Citywalk Residential Building 12,City Walk,Buj Khalifa Dubai Mall Metro Station,10.2,52.3
Al Wasl,Unit,4427000.0,2/2/2023,21638.4,3 B/R,1,Citywalk Residential Building 6B,City Walk,Buj Khalifa Dubai Mall Metro Station,14.4,74.3
Business Bay,Unit,30000000.0,3/10/2021,29931.76,5 B/R,1,Volante,Business Bay,Business Bay Metro Station,10.0,65.8
Al Wasl,Unit,3557000.0,21-07-2022,16599.78,2 B/R,1,Citywalk Residential Building 1,City Walk,Buj Khalifa Dubai Mall Metro Station,7.8,40.9
Jabal Ali First,Unit,369000.0,7/9/2022,9227.31,Studio,1,AZIZI MONTRELL,Al Furjan,ENERGY Metro Station,14.0,70.2
Jabal Ali First,Unit,375000.0,8/2/2023,10048.23,Studio,1,Azizi Shaista Residence,Al Furjan,Ibn Battuta Metro Station,14.6,73.2
Al Barsha South Fifth,Unit,170000.0,9/8/2022,3123.85,Studio,1,AL JAWHARA TOWER,,Jumeirah Lakes Towers,6.8,34.1
Marsa Dubai,Unit,2332250.0,25-01-2022,29318.04,1 B/R,1,Jumeirah Gate Tower 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,5.1,26.7
Marsa Dubai,Unit,2300000.0,25-05-2022,39696.24,1 B/R,1,Jumeirah Gate Tower 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,12.5,63.7
Jabal Ali First,Unit,480000.0,9/11/2022,8407.78,1 B/R,1,AZIZI SAMIA,Al Furjan,Ibn Battuta Metro Station,15.0,75.3
Al Hebiah Fourth,Unit,365000.0,16-01-2023,9867.53,Studio,1,HERA TOWER,Dubai Sports City,Dubai Internet City,8.5,42.7
Al Barsha South Fourth,Unit,1300000.0,2/1/2020,7280.06,2 B/R,1,BELGRAVIA 2,Jumeirah Village Circle,Nakheel Metro Station,5.7,29.2
Al Barsha South Fourth,Unit,890722.0,15-12-2022,8325.28,2 B/R,1,Milano Giovanni Boutique Suites,Jumeirah Village Circle,Dubai Internet City,6.1,31.0
Al Barsha South Fourth,Unit,390000.0,24-11-2022,11213.34,Studio,1,Milano Giovanni Boutique Suites,Jumeirah Village Circle,Dubai Internet City,13.2,66.2
Al Barsha South Fourth,Unit,790000.0,17-11-2021,7259.69,2 B/R,1,Milano Giovanni Boutique Suites,Jumeirah Village Circle,Dubai Internet City,6.9,34.9
Marsa Dubai,Unit,1459714.0,31-05-2021,25681.1,Studio,1,Jumeirah Living Marina Gate,,Marina Towers,6.1,31.3
Marsa Dubai,Unit,4500000.0,17-06-2022,22784.81,3 B/R,1,Bluewaters Residences 5,,Jumeirah Beach Residency,10.0,52.4
Jabal Ali First,Unit,400000.0,8/3/2020,8305.65,Studio,1,AL FOUAD,Al Furjan,Ibn Battuta Metro Station,8.8,44.2
Jabal Ali First,Unit,860000.0,1/7/2022,7925.54,2 B/R,1,AL FOUAD,Al Furjan,Ibn Battuta Metro Station,12.8,64.5
Al Barshaa South Third,Unit,490000.0,22-10-2020,11702.89,Studio,1,RESORTZ RESIDENCE BLOCK 2,Arjan,Sharaf Dg Metro Station,7.3,36.8
Al Barshaa South Third,Unit,365000.0,27-07-2022,9115.88,Studio,1,RESORTZ RESIDENCE BLOCK 3,Arjan,Sharaf Dg Metro Station,10.3,51.7
Business Bay,Unit,820000.0,28-12-2020,9735.25,1 B/R,1,Elite Business Bay Residence,Business Bay,Business Bay Metro Station,12.2,61.4
Burj Khalifa,Unit,1751536.0,13-06-2021,18195.89,1 B/R,1,DT1,Business Bay,Business Bay Metro Station,10.8,54.9
Al Barsha South Fourth,Unit,360000.0,20-09-2021,10294.54,Studio,1,BLOOM TOWERS C,Jumeirah Village Circle,Dubai Internet City,11.4,57.2
Madinat Al Mataar,Unit,400000.0,20-06-2022,6752.19,1 B/R,1,MAG 510,Dubai World Central,,9.5,47.7
Business Bay,Unit,740000.0,16-06-2022,18453.87,Studio,1,MAG 318,Business Bay,Buj Khalifa Dubai Mall Metro Station,12.1,60.9
Business Bay,Unit,1853545.0,19-01-2023,22604.21,1 B/R,1,MEERA TOWER,,Business Bay Metro Station,13.2,67.0
Warsan Fourth,Unit,350000.0,2/2/2021,3974.11,1 B/R,1,Easy 18,International City Phase 3,Rashidiya Metro Station,12.1,60.7
Al Thanyah Fifth,Unit,890000.0,8/9/2021,12754.37,1 B/R,1,MBL RESIDENCE,Jumeirah Lakes Towers,Jumeirah Lakes Towers,10.0,50.5
Al Thanyah Fifth,Unit,1033333.0,24-01-2022,14806.32,1 B/R,1,MBL RESIDENCE,Jumeirah Lakes Towers,Jumeirah Lakes Towers,14.3,72.0
Hadaeq Sheikh Mohammed Bin Rashid,Unit,1456313.0,27-01-2023,21322.3,2 B/R,1,Collective 2.0 Tower A,DUBAI HILLS,First Abu Dhabi Bank Metro Station,6.0,30.8
Al Barsha South Fourth,Unit,1480303.0,12/12/2022,10175.3,3 B/R,1,Dune Residency Dubai,Jumeirah Village Circle,Dubai Internet City,14.0,70.8
Business Bay,Unit,7117895.0,18-04-2022,34731.6,Shop,1,The Opus By Omniyat,Business Bay,Business Bay Metro Station,13.1,69.2
Al Barshaa South Third,Unit,370000.0,19-12-2022,10057.08,Studio,1,ELZ RESIDENCE,Arjan,Sharaf Dg Metro Station,8.9,44.7
Al Barshaa South Third,Unit,1076100.0,21-06-2021,9149.73,2 B/R,1,2020 Marquis,Arjan,Sharaf Dg Metro Station,6.9,35.1
Al Barshaa South Third,Unit,981750.0,12/7/2021,8877.38,2 B/R,1,2020 Marquis,Arjan,Sharaf Dg Metro Station,13.4,67.5
Business Bay,Unit,3123810.0,31-05-2022,27968.57,1 B/R,1,SLS DUBAI,Business Bay,Buj Khalifa Dubai Mall Metro Station,6.3,33.1
Al Barsha South Fourth,Unit,455000.0,30-09-2021,9528.8,Studio,0,Living Garden II,Jumeirah Village Circle,Nakheel Metro Station,13.6,68.2
Al Barshaa South Second,Unit,1327597.0,30-08-2022,8934.03,2 B/R,1,ORCHID RESIDENCE,Dubiotech,First Abu Dhabi Bank Metro Station,10.9,55.2
Al Barshaa South Second,Unit,739142.0,8/3/2023,9795.15,1 B/R,1,ORCHID RESIDENCE,Dubiotech,First Abu Dhabi Bank Metro Station,6.6,33.4
Al Barshaa South Second,Unit,1263472.0,3/1/2023,9310.77,2 B/R,1,ORCHID RESIDENCE,Dubiotech,First Abu Dhabi Bank Metro Station,13.7,69.2
Al Jadaf,Unit,700000.0,21-12-2022,9917.82,1 B/R,1,Binghatti Avenue,Dubai Health Care City Phase 2,Healthcare City Metro Station,9.3,46.9
Al Barshaa South Third,Unit,1175817.0,25-07-2021,7211.83,2 B/R,1,EVERSHINE GARDENS,Arjan,Sharaf Dg Metro Station,6.7,34.1
Nad Al Shiba First,Unit,1220000.0,19-12-2022,15844.16,1 B/R,1,Injazzat Residence,Meydan,Business Bay Metro Station,13.4,67.6
Al Barsha South Fifth,Unit,1754040.0,10/5/2022,10136.62,3 B/R,1,ZaZEN ONE,Jumeirah Village Triangle,Nakheel Metro Station,10.1,51.4
Al Barsha South Fourth,Unit,550645.0,14-03-2023,14043.48,Studio,1,Luma21,Jumeirah Village Circle,Nakheel Metro Station,10.0,50.3
Al Barsha South Fourth,Unit,971147.0,2/2/2023,8714.53,1 B/R,1,AG Residence,Jumeirah Village Circle,Dubai Internet City,6.2,31.5
Business Bay,Unit,438095.0,30-06-2022,27815.57,Studio,1,SLS DUBAI,Business Bay,Buj Khalifa Dubai Mall Metro Station,7.1,35.7
Business Bay,Unit,1095238.0,18-08-2022,25300.03,2 B/R,1,SLS DUBAI,Business Bay,Buj Khalifa Dubai Mall Metro Station,14.3,72.1
Palm Jumeirah,Villa,11000000.0,28-01-2021,17640.93,,0,,Palm Jumeirah,Al Sufouh,14.6,78.8
Al Rashidiya,Villa,2150000.0,24-02-2022,3522.97,,0,,,Rashidiya Metro Station,9.0,46.1
Palm Jumeirah,Villa,8500000.0,24-08-2020,13657.69,,0,,Palm Jumeirah,Knowledge Village,10.5,57.0
Al Bada,Villa,2100000.0,9/2/2023,7534.71,,0,,,Emirates Towers Metro Station,10.7,54.6
Al Karama,Building,1800000.0,28-06-2022,14194.46,,0,,,ADCB Metro Station,12.8,64.9
Um Suqaim,Land,1080000.0,24-11-1998,775.0,,0,,,,8.2,41.6
Al Garhoud,Villa,667882.0,9/12/2022,4843.59,,0,,,Terminal 3 ,5.8,29.4
Um Al Sheif,Villa,6100000.0,13-07-2021,4377.31,,0,,,First Abu Dhabi Bank Metro Station,7.4,40.2
Al Twar Second,Villa,3300000.0,18-08-2021,3382.95,,0,,,Al Qusais Metro Station,13.7,70.2
Jumeirah First,Villa,10000000.0,12/7/2022,6085.43,,0,,,Buj Khalifa Dubai Mall Metro Station,14.7,78.8
Al Murqabat,Building,21145000.0,28-07-2020,23411.2,,0,,,Al Rigga Metro Station,5.3,37.6
Al Thanayah Fourth,Villa,6310000.0,27-02-2023,7304.09,,0,,Meadows 1,Damac Properties,10.6,56.3
Al Thanayah Fourth,Villa,5750000.0,6/7/2022,8464.47,,0,,Meadows 9,Jumeirah Lakes Towers,14.2,74.0
Al Thanayah Fourth,Villa,3255000.0,10/5/2020,5806.49,,0,,Meadows 9,Jumeirah Lakes Towers,14.2,72.7
Wadi Al Safa 6,Villa,4050000.0,9/6/2021,6328.03,,0,,Arabian Ranches - Mirador,,12.8,66.1
Al Thanyah Third,Villa,2150000.0,19-03-2020,8669.35,,0,,Lakes - Maeen,Nakheel Metro Station,6.5,33.6
Palm Jumeirah,Villa,26600000.0,1/2/2023,42740.54,,0,,Palm Jumeirah,Mina Seyahi,12.1,74.5
Al Thanyah Third,Villa,4600000.0,18-07-2021,10574.96,,0,,Lakes - Deema 1,Nakheel Metro Station,8.3,43.9
Al Barsha South Fourth,Land,6233957.0,24-12-2020,2195.12,,0,,Jumeirah Village Circle,Dubai Internet City,11.2,59.3
Al Hebiah Fourth,Villa,3030000.0,22-02-2021,4942.5,,0,,Dubai Sports City,Nakheel Metro Station,11.5,59.1
Al Hebiah Fourth,Villa,2650000.0,28-03-2022,10728.74,,0,,Dubai Sports City,Nakheel Metro Station,14.5,73.9
Al Thanyah Fifth,Villa,5350000.0,3/1/2021,5892.27,,0,,Jumeirah Park,Jumeirah Lakes Towers,10.9,57.3
Al Thanyah Fifth,Villa,2750000.0,20-04-2020,4903.97,,0,,Jumeirah Park,Jumeirah Lakes Towers,5.4,28.4
Al Thanyah Fifth,Villa,2750000.0,20-09-2020,5490.12,,0,,Jumeirah Park,Jumeirah Lakes Towers,11.2,57.4
Al Thanyah Fifth,Villa,2400000.0,8/9/2020,3529.41,,0,,Jumeirah Park,Harbour Tower,5.7,29.8
Wadi Al Safa 5,Villa,4000000.0,11/4/2022,6656.68,,0,,The Villa,,12.4,64.1
Me'Aisem First,Villa,6000000.0,26-01-2023,16666.67,,0,,Jumeirah Golf,Damac Properties,8.7,46.7
Me'Aisem First,Villa,6700000.0,6/5/2021,8302.35,,0,,Jumeirah Golf,Damac Properties,7.4,40.5
Al Hebiah Third,Villa,2229750.0,20-12-2020,6653.79,,0,,DAMAC HILLS,,14.9,75.7
Jabal Ali First,Land,1300000.0,15-11-2020,1450.89,,0,,Al Furjan,Ibn Battuta Metro Station,10.3,52.2
Al Merkadh,Land,5143212.0,16-06-2022,7427.13,,0,,,Buj Khalifa Dubai Mall Metro Station,10.5,55.2
Al Yufrah 2,Villa,1825000.0,30-06-2022,10440.5,,0,,DAMAC HILLS 2,,5.7,29.5
Jabal Ali First,Villa,1865000.0,16-11-2020,8135.22,,0,,Al Furjan,Ibn Battuta Metro Station,8.0,41.0
Me'Aisem First,Villa,3500000.0,16-12-2022,18073.84,,0,,Jumeirah Golf,Damac Properties,12.3,63.3
Me'Aisem First,Villa,9675000.0,4/7/2022,12712.7,,0,,Jumeirah Golf,Harbour Tower,10.5,57.6
Al Yufrah 2,Land,1090000.0,19-01-2022,6235.7,,0,,DAMAC HILLS 2,,6.9,35.1
Nad Al Hamar,Building,22250000.0,25-01-2021,5549.0,,0,,,Rashidiya Metro Station,8.1,52.2
Me'Aisem First,Villa,9425000.0,10/5/2022,9489.53,,0,,Jumeirah Golf,Harbour Tower,8.6,48.0
Island 2,Land,63000000.0,24-11-2021,28384.9,,0,,,Business Bay Metro Station,7.4,70.2
Nad Al Shiba First,Villa,5500000.0,17-05-2021,10742.19,,0,,,Business Bay Metro Station,14.7,76.4
Nad Al Shiba First,Villa,5725000.0,26-01-2021,11181.42,,0,,,Business Bay Metro Station,7.1,38.5
Nad Al Shiba First,Villa,5700000.0,2/11/2021,11132.16,,0,,,Business Bay Metro Station,7.1,38.5
Nad Al Shiba First,Villa,6000000.0,28-10-2020,8674.91,,0,,,Business Bay Metro Station,14.4,75.2
Al Mamzer,Land,6837000.0,27-10-2022,4736.77,,0,,,Al Qiyadah Metro Station,8.2,44.6
Wadi Al Safa 3,Villa,2500000.0,8/8/2021,4699.25,,0,,Living Legends,,10.6,54.3
Wadi Al Safa 3,Villa,2420000.0,20-06-2021,5542.83,,0,,Living Legends,First Abu Dhabi Bank Metro Station,7.4,38.3
Al Barshaa South Second,Land,2670000.0,19-04-2021,2932.58,,0,,,Sharaf Dg Metro Station,12.7,64.9
Al Hebiah Sixth,Land,1600000.0,15-07-2021,8833.92,,0,,Mudon,,12.7,64.3
Me'Aisem First,Land,3750000.0,15-07-2021,5627.17,,0,,Jumeirah Golf,,6.0,32.0
Al Thanayah Fourth,Villa,2550000.0,26-05-2021,7371.86,4 B/R,0,,Springs - 1,Damac Properties,12.1,61.8
Al Thanayah Fourth,Villa,3050000.0,4/1/2023,10314.16,3 B/R,0,,Springs - 1,Damac Properties,9.6,49.6
Al Thanayah Fourth,Villa,1830000.0,20-09-2022,7359.15,2 B/R,0,,Springs - 1,Damac Properties,6.6,34.0
Wadi Al Safa 6,Villa,1665000.0,11/11/2020,4381.23,4 B/R,0,,Arabian Ranches - Al Reem 3,,11.8,59.9
Al Yelayiss 1,Villa,1250000.0,15-09-2020,5892.34,3 B/R,0,,,,7.2,36.7
Al Yelayiss 1,Villa,2450000.0,8/6/2021,7903.99,4 B/R,0,,,,8.8,45.3
Jabal Ali First,Villa,1850000.0,6/7/2021,10421.36,3 B/R,0,,Al Furjan,Ibn Battuta Metro Station,9.9,50.5
Al Yelayiss 1,Villa,1300000.0,25-11-2020,6128.03,3 B/R,0,,,,8.6,43.7
Wadi Al Safa 7,Villa,3400000.0,9/9/2022,17413.57,3 B/R,0,,THE SUSTAINABLE CITY,,5.1,27.3
Al Yelayiss 2,Villa,1700000.0,29-09-2022,9046.4,3 B/R,0,,TOWN SQUARE,,9.7,49.4
Al Yelayiss 2,Villa,1850000.0,14-12-2022,9844.61,3 B/R,0,,TOWN SQUARE,,11.1,56.5
Al Yelayiss 2,Villa,1580000.0,16-12-2020,5414.48,4 B/R,0,,TOWN SQUARE,,9.3,47.3
Al Yelayiss 2,Villa,1900000.0,13-06-2021,6163.63,4 B/R,0,,TOWN SQUARE,,6.9,35.5
Al Yelayiss 2,Villa,1400000.0,31-03-2021,7464.68,3 B/R,0,,TOWN SQUARE,,10.3,52.2
Hadaeq Sheikh Mohammed Bin Rashid,Villa,1850000.0,5/3/2020,9586.49,3 B/R,0,,DUBAI HILLS - MAPLE 1,First Abu Dhabi Bank Metro Station,14.0,71.0
Wadi Al Safa 7,Villa,3302250.0,15-08-2022,16827.61,3 B/R,0,,THE SUSTAINABLE CITY,,8.5,44.2
Al Yelayiss 2,Villa,1825000.0,6/4/2021,6634.19,4 B/R,0,,TOWN SQUARE,,13.3,67.5
Wadi Al Safa 7,Villa,1700000.0,15-09-2022,9125.07,3 B/R,0,,800 Villas,,10.9,55.4
Palm Jumeirah,Villa,73000000.0,29-06-2022,41612.75,7 B/R,0,,Palm Jumeirah,Mina Seyahi,11.0,93.4
Hadaeq Sheikh Mohammed Bin Rashid,Villa,2900000.0,13-01-2022,14315.33,3 B/R,0,,DUBAI HILLS - MAPLE 3,First Abu Dhabi Bank Metro Station,10.0,51.5
Al Yelayiss 2,Villa,1740000.0,4/11/2021,9248.92,3 B/R,0,,TOWN SQUARE,,9.3,47.4
Jabal Ali First,Villa,2000000.0,1/6/2021,7088.68,3 B/R,0,,Al Furjan,Ibn Battuta Metro Station,13.5,68.6
Jabal Ali First,Villa,2385000.0,10/11/2022,13435.11,4 B/R,0,,Al Furjan,Ibn Battuta Metro Station,7.1,36.8
Al Thanyah Third,Unit,1690000.0,30-12-2020,7585.62,4 B/R,1,ALGHAF 2,The Greens,Dubai Internet City,6.7,34.4
Al Thanyah Third,Unit,850000.0,23-02-2023,12372.63,1 B/R,1,Al Dhafrah-1,The Greens,Dubai Internet City,8.1,40.9
Al Thanyah Third,Unit,1030000.0,16-02-2023,10142.79,2 B/R,1,AL THAYYAL-3,The Greens,Dubai Internet City,5.4,27.5
Al Thanyah Third,Unit,1450000.0,4/5/2008,13497.16,2 B/R,1,AL THAYYAL-1,The Greens,Dubai Internet City,14.0,70.8
Marsa Dubai,Unit,1865000.0,30-04-2008,18980.26,1 B/R,1,Rimal 4,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,9.3,47.5
Marsa Dubai,Unit,1500000.0,8/12/2020,5545.08,4 B/R,1,Murjan 5,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,6.4,32.8
Marsa Dubai,Unit,4250000.0,28-12-2022,19915.65,3 B/R,1,SAHAB-1,Dubai Marina,Jumeirah Beach Residency,13.3,68.7
Marsa Dubai,Unit,1000000.0,23-09-2020,7367.57,2 B/R,1,SAHAB-2,Dubai Marina,Jumeirah Beach Residency,13.4,67.5
Marsa Dubai,Unit,1105000.0,26-12-2007,6617.56,3 B/R,1,Sadaf 4,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,5.6,28.6
Marsa Dubai,Unit,1350000.0,7/11/2021,7614.21,3 B/R,1,Sadaf 8,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,6.7,34.2
Marsa Dubai,Unit,1700000.0,19-04-2021,5876.05,4 B/R,1,Sadaf 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,9.8,49.9
Al Thanyah Fifth,Unit,1177167.0,5/4/2021,10435.88,Shop,1,AL SEEF 2,Jumeirah Lakes Towers,Damac Properties,10.9,55.1
Marsa Dubai,Unit,1430000.0,8/3/2023,12841.24,1 B/R,1,Shams 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,7.0,35.8
Marsa Dubai,Unit,2045000.0,1/6/2008,19682.39,1 B/R,1,Murjan 2,Jumeriah Beach Residence  - JBR,Jumeirah Beach Resdency,11.9,60.6
Marsa Dubai,Unit,1450000.0,1/3/2023,11634.44,1 B/R,1,Shams 1,Jumeriah Beach Residence  - JBR,Jumeirah Beach Residency,7.7,39.3
Al Warsan First,Unit,330000.0,9/12/2021,4782.61,1 B/R,0,T10,International City Phase 1,Rashidiya Metro Station,5.1,25.7
Al Warsan First,Unit,265000.0,25-01-2009,5888.89,Studio,0,Y08,International City Phase 1,Rashidiya Metro Station,11.5,57.6
Al Warsan First,Unit,232000.0,16-03-2023,5155.56,Studio,0,U02,International City Phase 1,Rashidiya Metro Station,6.7,33.6
Al Warsan First,Unit,356800.0,19-01-2009,8297.67,Shop,0,L12,International City Phase 1,Rashidiya Metro Station,11.6,58.2
Al Warsan First,Unit,224000.0,31-01-2023,4977.78,Studio,0,U17,International City Phase 1,Rashidiya Metro Station,13.6,68.1
Al Warsan First,Unit,315000.0,2/3/2023,4565.22,1 B/R,0,U06,International City Phase 1,Rashidiya Metro Station,12.4,62.2
Al Warsan First,Unit,270000.0,6/10/2021,3970.59,1 B/R,0,J02,International City Phase 1,Rashidiya Metro Station,6.1,30.6
Al Warsan First,Unit,210000.0,7/7/2022,4772.73,Studio,0,I02,International City Phase 1,Rashidiya Metro Station,9.8,49.1
Al Warsan First,Unit,200000.0,28-03-2022,4444.44,Studio,0,K12,International City Phase 1,Rashidiya Metro Station,8.3,41.6
Al Warsan First,Unit,320000.0,22-12-2011,7111.11,Studio,0,K13,International City Phase 1,Rashidiya Metro Station,11.5,57.7
Al Warsan First,Unit,185000.0,13-06-2021,4204.55,Studio,0,I6,International City Phase 1,Rashidiya Metro Station,13.3,66.6
Al Warsan First,Unit,193000.0,8/7/2021,4386.36,Studio,0,N10,International City Phase 1,Rashidiya Metro Station,6.3,31.6
Al Warsan First,Unit,200038.0,6/10/2022,4546.33,Studio,0,N12,International City Phase 1,Rashidiya Metro Station,10.1,50.6
Burj Khalifa,Unit,1200000.0,27-04-2021,16085.79,1 B/R,1,YANSOON 6,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,10.3,52.1
Marsa Dubai,Unit,1140000.0,25-07-2022,10670.16,2 B/R,1,LA RIVIERA TOWER,Dubai Marina,Jumeirah Lakes Towers,14.3,72.1
Al Thanyah Third,Unit,1280000.0,26-07-2021,12214.91,1 B/R,1,GOLF TOWERS T1,The Greens,Nakheel Metro Station,6.5,33.2
Al Warsan First,Unit,285000.0,25-11-2022,4191.18,1 B/R,0,S18,International City Phase 1,Rashidiya Metro Station,14.0,70.2
Al Warsan First,Unit,200000.0,23-07-2020,3333.33,Studio,0,M07,International City Phase 1,Rashidiya Metro Station,13.1,65.6
Al Warsan First,Unit,295000.0,2/3/2022,4402.99,1 B/R,0,Y06,International City Phase 1,Rashidiya Metro Station,10.3,51.7
Palm Jumeirah,Unit,2700000.0,21-10-2022,13075.69,3 B/R,1,Al Shahla,Palm Jumeirah,Palm Jumeirah,8.7,44.9
Al Thanyah Fifth,Unit,840000.0,2/2/2022,11146.5,1 B/R,1,SABA 3,Jumeirah Lakes Towers,Marina Mall Metro Station,14.0,70.4
Burj Khalifa,Unit,2025000.0,11/11/2021,21496.82,1 B/R,1,REEHAN 3,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,10.1,51.6
Al Thanyah Fifth,Unit,800000.0,7/10/2021,8509.73,1 B/R,1,MADINA TOWER,Jumeirah Lakes Towers,Marina Mall Metro Station,8.5,42.9
Al Warsan First,Unit,300000.0,25-01-2022,4347.83,1 B/R,0,X13,International City Phase 1,Rashidiya Metro Station,9.1,45.7
